NCTC6180	S. equi
NCTC6181	S. dysgalactiae
NCTC6197	P. mirabilis
NCTC6198	S. canis
NCTC6245	S. enterica
NCTC6266	C. freundii
NCTC6344	P. alcalifaciens
NCTC6355	P. macerans
NCTC6385	S. enterica
NCTC6403	S. dysgalactiae
NCTC6407	S. dysgalactiae
NCTC6455	N. meningitidis
NCTC6474	B. cereus
NCTC6480	S. enterica
NCTC6482	S. enterica
NCTC6507	S. aureus
NCTC6513	S. epidermidis
NCTC6571	S. aureus
NCTC6578	H. alvei
NCTC6700	B. pseudomallei
NCTC6703	S. enterica
NCTC6750	P. aeruginosa
NCTC6759	S. enterica
NCTC6802	S. enterica
NCTC6816	B. licheniformis
NCTC6933	P. rustigianii
NCTC6947	S. sp.
NCTC6966	S. aureus
NCTC7017	M. smegmatis
NCTC7022	S. equi
NCTC7023	S. equi
NCTC7096	A. migulanus
NCTC7101	S. enterica
NCTC7102	S. enterica
NCTC7112	S. enterica
NCTC7121	S. aureus
NCTC7136	S. dysgalactiae
NCTC7151	S. pseudintermedius
NCTC7152	E. coli
NCTC7170	E. hirae
NCTC7171	E. faecium
NCTC7174	E. faecium
NCTC7175	E. hirae
NCTC7176	E. faecium
NCTC7179	E. casseliflavus
NCTC7242	K. pneumoniae
NCTC7243	C. amycolatum
NCTC7244	P. aeruginosa
NCTC7273	C. botulinum
NCTC7291	S. warneri
NCTC7292	S. saprophyticus
NCTC7308	S. enterica
NCTC7318	S. enterica
NCTC7357	P. chlororaphis
NCTC7360	E. coli
NCTC7361	S. aureus
NCTC7362	E. coli
NCTC7364	A. baumannii
NCTC7366	S. salivarius
NCTC7379	E. faecium
NCTC7380	E. faecium
NCTC7388	S. enterica
NCTC7404	S. enterica
NCTC7406	S. enterica
NCTC7411	S. enterica
NCTC7412	A. baumannii
NCTC7415	S. aureus
NCTC7422	A. baumannii
NCTC7427	K. pneumoniae
NCTC7428	S. aureus
NCTC7445	S. aureus
NCTC7446	S. aureus
NCTC7447	S. aureus
NCTC7448	C. renale
NCTC7464	B. cereus
NCTC7465	S. pneumoniae
NCTC7466	S. pneumoniae
NCTC7471	B. abortus
NCTC7474	S. epidermidis
NCTC7476	P. rettgeri
NCTC7485	S. aureus
NCTC7486	S. sp.
NCTC7503	M. luteus
NCTC7511	K. rosea
NCTC7512	K. rosea
NCTC7514	K. rosea
NCTC7526	S. saprophyticus
NCTC7528	K. rosea
NCTC7540	S. saprophyticus
NCTC7547	C. fimi
NCTC7563	M. luteus
NCTC7575	P. polymyxa
NCTC7582	B. sphaericus
NCTC7589	B. licheniformis
NCTC7595	A. viridans
NCTC7623	S. saprophyticus
NCTC7666	S. saprophyticus
NCTC7687	S. saprophyticus
NCTC7688	S. saprophyticus
NCTC7692	S. saprophyticus
NCTC7712	S. aureus
NCTC7718	S. aureus
NCTC7744	S. enterica
NCTC7761	K. edwardsii
NCTC7791	S. aureus
NCTC7799	K. pneumoniae
NCTC7802	S. saprophyticus
NCTC7807	S. griseus
NCTC7831	S. enterica
NCTC7832	S. enterica
NCTC7836	S. enterica
NCTC7838	C. diphtheriae
NCTC7856	S. aureus
NCTC7857	H. parainfluenzae
NCTC7863	S. sanguinis
NCTC7865	S. gordonii
NCTC7868	S. gordonii
NCTC7869	S. gordonii
NCTC7870	S. gordonii
NCTC7887	S. agnetis
NCTC7908	C. ulcerans
NCTC7910	C. ulcerans
NCTC7911	M. lacunata
NCTC7914	P. putida
NCTC7915	D. congolensis
NCTC7921	E. coli
NCTC7924	S. sonnei
NCTC7926	E. coli
NCTC7927	E. coli
NCTC7944	S. hyicus
NCTC7972	S. aureus
NCTC7973	L. monocytogenes
NCTC7978	S. pneumoniae
NCTC7982	S. dysgalactiae
NCTC7988	S. aureus
NCTC7990	S. lugdunensis
NCTC7999	E. rhusiopathiae
NCTC8003	E. coli
NCTC8004	S. aureus
NCTC8006	E. dispar
NCTC8007	E. coli
NCTC8008	E. coli
NCTC8015	S. plymuthica
NCTC8017	S. agalactiae
